,Title,Hoax
2855, Pesan WhatsApp Bupati Bone Bolango Tawarkan Mobil untuk Dijual,1
2997, “Varian baru Covid-19 tidak lain dari infeksi protein spike dari vaksin”,1
3209," Berada Di Sekitar Orang yang Baru Divaksin, Dapat Sebabkan Gangguan Menstruasi Pada Wanita",1
8388,() Demo dan Konflik antara Ojek Online dengan Angkutan Umum di Bandung,1
3964, Jokowi Kejang dan Meninggal Dunia setelah Disuntik Vaksin,1
3260, Vaksin Covid-19 Beresiko Tinggi Bagi Perempuan yang Sedang Menstruasi,1
2770," Video “warga Pemulutan, salah satu kampung di Kab. Ogan Ilir, Sumsel sdh akrab bermain dg buaya”",1
2644," Gangguan Jaringan Massal, Internet Indonesia Ternyata Di-hack",1
5637, Video “Kisah pilu dari ITALY IBU nya meninggal pasien COVID-19”,1
8158, “Pembangunan Infrastruktur yang Dibanggakan Oleh Presiden RI Joko Widodo di Papua Selama Ini Ternyata Menjadi Kedok…”,1
8991,[]  Buka Puasa di Jalanan Kota London Inggris,1
3658, Whiskey Berlabel Halal MUI,1
2114, Omicron dalam Bahasa Yunani Artinya “AKHIR ZAMAN”,1
5263, Peta Yogyakarta di Timur Tengah,1
4202, Kaca Pos Lantas Perbaungan Ditembak OTK,1
4262, Foto Gadis Kecil yang Kehilangan Keluarganya Akibat Perang di Irak Tertidur di atas Lukisan Sosok Ibunya yang Telah Meninggal,1
2627, Video Demo Menolak Wajib Vaksin di Brazil,1
7572, Dermaga Bemata Dajjal Hancur Diterpa Gempa Serta Tsunami di Palu dan Donggala,1
8970,[] Meninggalnya Husni Kamil Manik Dikaitkan dengan Kecurangan di Pilpres 2014,1
1780, Akun Lesti Kejora Bagi Bagi Giveaway,1
6886,  KAKI TANGAN REZIM ZALIM SUDAH MULAI MENGHALANGI AGAR BW TIDAK BISA MASUK KE GEDUNG MK UNTUK IKUT SIDANG,1
511, Alyssa Soebandono Meninggal Dunia,1
1470, Sulfur Hexaflouride adalah gas yang memiliki kepadatan seperti air,1
5533, Petinju Manny Pacman Bagi-bagi Hadiah Saat Pandemi,1
3826, Video Dua Orang Psikopat Memaksa Seorang Pria Memakan Sup Berisi Daging dan Usus Istrinya Sendiri Dari Deep Web,1
5517, Foto Megawati Potong Tumpeng Di Atas Meja Berlogo PKI,1
1263, Gambar Tangkapan Layar Artikel “Wapres Pemerintah Gak Sengaja pakai Dana Haji Jadi Tak Dosa”,1
