,unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,pickup_location,dropoff_latitude,dropoff_longitude,dropoff_location
0,4bd871ae6c7727a89262fda70bd0cc6f09d8aaf4,6c6bb220c0c5f895374a902ce390b95a3f928b11f7f7e5a5a44eeef8921ca0b886817b10cf54e3e25e60fe5b48770566acab12acf377db669159bb8c44ff87e2,2018-06-13 09:30:00+00:00,2018-06-13 10:00:00+00:00,1740,9.8,17031390700,17031081401,39,8,28.5,0.0,0.0,0.0,28.5,Cash,Medallion Leasin,41.805911699,-87.587479258,POINT (-87.5874792581 41.8059116993),41.89503345,-87.619710672,POINT (-87.6197106717 41.8950334495)
1,a5c67ca6ceaad00af5b365899682cb81b0320264,75ac55239c9430d0a53973e560951a0d974bb65ed33f765a9a1a1100d0cd21f85d9f11f0bac1c5750b9ab87f38126d75b8a9d761305b8f91d2b6f5e9eba9f43f,2015-08-26 10:15:00+00:00,2015-08-26 10:30:00+00:00,900,2.2,17031080201,17031839100,8,32,9.65,1.0,0.0,0.0,10.65,Credit Card,Taxi Affiliation Services,41.909495669,-87.630963601,POINT (-87.630963601 41.9094956686),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707)
2,83f8bd0a007db7deaef260560af5649807140bbe,55f31dbe9be541d894918b55b4cf2b074ab62f9e2f3a6d1e3f7e0401dd613ac3d4a0e6b8b8e58431e9ac686a742d6cc1fe419cb93562a201c9edca4d5f056179,2015-09-23 15:45:00+00:00,2015-09-23 15:45:00+00:00,300,1.8,17031841900,17031081403,28,8,6.65,0.0,0.0,0.0,6.65,Cash,Taxi Affiliation Services,41.867902418,-87.642958665,POINT (-87.6429586652 41.8679024175),41.890922026,-87.618868355,POINT (-87.6188683546 41.8909220259)
3,48a64ebcc3904cd408501702dcd06875eb918948,cb8da8dde1057540d8da485b4510d133316163e21fbef92f4d46f219459930016ec548fae8987cda4130590ceccdfab888567bcc1b861922d125a15aa899a1e9,2014-11-01 01:00:00+00:00,2014-11-01 01:00:00+00:00,240,0.7,17031071100,17031071500,7,7,4.85,0.0,0.0,3.0,7.85,Cash,Taxi Affiliation Services,41.921778188,-87.651061884,POINT (-87.6510618838 41.9217781876),41.914616286,-87.631717366,POINT (-87.6317173661 41.9146162864)
4,3404d3fdf687a56d275fa34b981e5ed52e0ec4d4,64686e78e46e6f51c31707069f5db572fc4d93091ad1fc758b903349e713f549538159b9de056b731b3e20ca05e4c28889623beb63ed88f971695ed0fc4193ee,2016-08-14 19:15:00+00:00,2016-08-14 19:15:00+00:00,360,1.1,17031241600,17031241400,24,24,6.5,1.5,0.0,0.0,8.5,Credit Card,Chicago Taxicab,41.906650766,-87.66533766,POINT (-87.6653376596 41.9066507664),41.906025969,-87.675311622,POINT (-87.6753116216 41.906025969)
5,b37caf8cd5f47e308fd025f1df595ab7a5d70fdf,0cbf5c0f6aca3628d77c7b6fe89715757ed402a70b0f8b546f175f2f0f8b051cbf2586f93f658f5b91675cbcec559ff886c7b477bf25fbc1f32c4e252f3f3435,2016-08-23 09:15:00+00:00,2016-08-23 09:30:00+00:00,480,0.9,17031081900,17031081500,8,8,6.5,0.0,0.0,0.0,6.5,Cash,City Service,41.897983898,-87.641491533,POINT (-87.6414915334 41.897983898),41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809)
6,be9b9b99d718d86de9fd77206c976f5e9e80f6bb,4df2912dd50d4f329ca8bbdc29820405a25dab85dd752422ab4f51193fbccb1e163491a14d4cbb36adc4c8dfe78b8b50d2286555a61e45c8f29ea7828f9a8b90,2018-01-19 01:15:00+00:00,2018-01-19 01:15:00+00:00,0,0.0,17031071100,17031071100,7,7,3.25,0.0,0.0,0.0,3.25,Cash,KOAM Taxi Association,41.921778188,-87.651061884,POINT (-87.6510618838 41.9217781876),41.921778188,-87.651061884,POINT (-87.6510618838 41.9217781876)
7,4a4d53bdff44b49c9f7ebff37c31f95eb5896220,0d61c4f9c8cb8d280fce388789bd7e26d2a692c0e510ca588ec0b4979d50be301e288fb259f57c306c47035636aed0ed78fa7eb8989fe20540bbb8bdc8c57910,2018-02-21 22:45:00+00:00,2018-02-21 23:00:00+00:00,600,2.1,17031838100,17031280100,28,28,9.0,0.0,0.0,1.0,10.0,Cash,Star North Management LLC,41.87866742,-87.671653621,POINT (-87.6716536214 41.8786674201),41.885300022,-87.642808466,POINT (-87.6428084655 41.8853000224)
8,44ce60832d36f10a74d4ccd0c1c3396933e46382,c4e0537554d8d6f4c1529153b0d18acb2531acd90d3ba10c33d115e5129cf49b188d5b87720528e72d1102af8d75a50eebbb3e33497236f0bdf85f6af1a32eea,2018-02-16 22:15:00+00:00,2018-02-16 22:30:00+00:00,1080,5.1,17031062100,17031081800,6,8,16.75,3.35,0.0,0.0,20.1,Credit Card,Taxi Affiliation Services,41.942691844,-87.651770507,POINT (-87.6517705068 41.9426918444),41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595)
9,d2d0b5594cd72a9c4a20c34c85754944b9baeabc,bb580bc1fe37f0f3d911e4a7323a0e4d42a936c715699b15b4f851eff54648c0e9d19956a80b67f716975be3a0ae6b79dc9bcdddcbfd3890de8b4959e1974ef9,2018-01-18 15:45:00+00:00,2018-01-18 16:00:00+00:00,900,0.2,17031071200,17031320400,7,32,15.25,3.25,0.0,1.0,19.5,Credit Card,Blue Ribbon Taxi Association Inc.,41.921854911,-87.646210977,POINT (-87.6462109769 41.9218549112),41.877406123,-87.621971652,POINT (-87.6219716519 41.8774061234)
