province_state,country_region,date,confirmed,deaths,recovered,active,admin2
,Japan,2020-05-15,16203,713,10338,5152,
Aichi,Japan,2022-05-26,535610,2059,,,
Akita,Japan,2022-05-26,29950,66,,,
Aomori,Japan,2022-05-26,56834,104,,,
Chiba,Japan,2022-05-26,446447,1774,,,
Ehime,Japan,2022-05-26,38746,139,,,
Fukui,Japan,2022-05-26,34301,45,,,
Fukuoka,Japan,2022-05-26,419036,1248,,,
Fukushima,Japan,2022-05-26,62538,220,,,
Gifu,Japan,2022-05-26,97831,331,,,
Gunma,Japan,2022-05-26,93340,319,,,
Hiroshima,Japan,2022-05-26,153988,484,,,
Hokkaido,Japan,2022-05-26,352592,2054,,,
Hyogo,Japan,2022-05-26,420214,2229,,,
Ibaraki,Japan,2022-05-26,157140,436,,,
Ishikawa,Japan,2022-05-26,54361,195,,,
Iwate,Japan,2022-05-26,33843,89,,,
Kagawa,Japan,2022-05-26,47303,123,,,
Kagoshima,Japan,2022-05-26,80667,194,,,
Kanagawa,Japan,2022-05-26,747515,2190,,,
Kochi,Japan,2022-05-26,27024,111,,,
Kumamoto,Japan,2022-05-26,96243,288,,,
Kyoto,Japan,2022-05-26,201041,713,,,
Mie,Japan,2022-05-26,80902,300,,,
Miyagi,Japan,2022-05-26,85276,195,,,
Miyazaki,Japan,2022-05-26,51453,141,,,
Nagano,Japan,2022-05-26,72204,193,,,
Nagasaki,Japan,2022-05-26,57201,124,,,
Nara,Japan,2022-05-26,90222,385,,,
Niigata,Japan,2022-05-26,70480,91,,,
Oita,Japan,2022-05-26,52916,160,,,
Okayama,Japan,2022-05-26,96185,247,,,
Okinawa,Japan,2022-05-26,209094,459,,,
Osaka,Japan,2022-05-26,965005,5031,,,
Port Quarantine,Japan,2022-05-26,4463,4,,,
Saga,Japan,2022-05-26,51674,105,,,
Saitama,Japan,2022-05-26,546031,1581,,,
Shiga,Japan,2022-05-26,89413,219,,,
Shimane,Japan,2022-05-26,16637,15,,,
Shizuoka,Japan,2022-05-26,167523,408,,,
Tochigi,Japan,2022-05-26,90110,272,,,
Tokushima,Japan,2022-05-26,21785,82,,,
Tokyo,Japan,2022-05-26,1529320,4474,,,
Tottori,Japan,2022-05-26,14801,20,,,
Toyama,Japan,2022-05-26,36788,93,,,
Unknown,Japan,2022-05-26,8,0,,,
Wakayama,Japan,2022-05-26,41560,117,,,
Yamagata,Japan,2022-05-26,27941,93,,,
Yamaguchi,Japan,2022-05-26,43502,175,,,
Yamanashi,Japan,2022-05-26,32022,68,,,
,Japan,2020-03-08,502,6,76,,
Aichi,Japan,2023-02-13,2080427,4165,,,
Akita,Japan,2023-02-13,196489,577,,,
Aomori,Japan,2023-02-13,275747,637,,,
Chiba,Japan,2023-02-13,1445092,3710,,,
Ehime,Japan,2023-02-13,308581,656,,,
Fukui,Japan,2023-02-13,196192,192,,,
Fukuoka,Japan,2023-02-13,1565113,3072,,,
Fukushima,Japan,2023-02-13,394449,743,,,
Gifu,Japan,2023-02-13,530166,1069,,,
Gunma,Japan,2023-02-13,432540,1037,,,
Hiroshima,Japan,2023-02-13,786003,1295,,,
Hokkaido,Japan,2023-02-13,1320642,4459,,,
Hyogo,Japan,2023-02-13,1446654,3722,,,
Ibaraki,Japan,2023-02-13,627825,1255,,,
Ishikawa,Japan,2023-02-13,273341,485,,,
Iwate,Japan,2023-02-13,229515,595,,,
Kagawa,Japan,2023-02-13,247678,590,,,
Kagoshima,Japan,2023-02-13,434231,841,,,
Kanagawa,Japan,2023-02-13,2191050,4127,,,
Kochi,Japan,2023-02-13,165692,565,,,
Kumamoto,Japan,2023-02-13,527871,1248,,,
